from,to,year,location,occupation
Rudolph,US Army,3,White Sands Missile Range,Entwickler V2
Rudolph,ABMA,3,Fort Bliss,Mitarbeiter
Rudolph,Redstone,3,Huntsville,Entwickler
Rudolph,Redstone,3,Huntsville,technischer Direktor
Rudolph,NASA,4,Huntsville,stellvertretender Direktor System Enigneering
Rudolph,NASA,4,Houston,stellvertretender Direktor System Enigneering
Rudolph,Saturn,4,Huntsville,Projektdirektor
Debus,Technische Hochschule Darmstadt,1,Darmstadt,Student
Debus,Burschenschaft Markommannia,1,Darmstadt,Student
Debus,SA,2,Darmstadt,Mitglied
Debus,SS,2,Darmstadt,Mitglied
Debus,Technische Hochschule Darmstadt,2,Darmstadt,Wissenschaftlicher Mitarbeiter
Debus,Gestapo,2,Darmstadt,Kooperation
Debus,V2,2,Peenemuende,Entwicklungsingenieur
Debus,Pruefstand VII,2,Peenemuende,Betriebsleiter
Debus,Operation Backfire,2,Peenemuende,Kriegsgefangener
Debus,US Army,3,Fort Bliss,Special Employee
Debus,Redstone,3,Huntsville,Assistenz des Technischen Direktors
Debus,ABMA,3,Huntsville,Firechief
Debus,NASA,4,Launch Operations Center,Launch Operations Director
Debus,NASA,4,Kennedy Space Center,Launch Operations Director
Debus,Apollo ,4,Kennedy Space Center,Launch Operations Director
Kuettner,Technische Hochschule Darmstadt,2,Darmstadt,Student
Kuettner,Messerschmitt AG,2,Augsburg,Testpilot
Kuettner,Geophysical Research Directorate,3,Cambridge,Professor
Kuettner,University of California,3,Oakland,Professor
Kuettner,Redstone,3,Huntsville,Centers Director
Kuettner,Mercury ,4,Huntsville,Centers Director
Kuettner,Apollo,4,Kennedy Space Center,Centers Director
Riedel,Firma Heylandt,1,Berlin,Entwickler Raketenmotoren
Riedel,Heereswaffenamt,2,Kummersdorf,Forschung und Entwicklung
Riedel,Heeresversuchsanstalt,2,Peenemuende,Leiter technisches Konstruktionsbuero V2
Riedel,Heeresversuchsanstalt,2,Peenemuende,Chefdesigner
Riedel,Heeresversuchsanstalt,2,Ebensee,Beaufsichtiger bei Verlegung nach Ebensee
Riedel,Kriegsgefangenschaft,3,Deggendorf,Gefangener US-Armee
Rees,Heeresversuchsanstalt,2,Peenemuende,Stellvertreter Brauns
Rees,Heeresversuchsanstalt,2,Peenemuende,Betriebsdirektor
Rees,Heeresversuchsanstalt,2,Peenemuende,Produktionsdirektor
Rees,US Army,3,Fort Bliss,Berater
Rees,Redstone,3,Huntsville,Stellvertreter Brauns
Rees,ABMA,3,Huntsville,stellvertretender Direktor
Rees,NASA,4,Huntsville,Stellvertreter Brauns
Tessmann,Heeresversuchsanstalt,2,Peenemuende,Ueberwacher Konstruktion Maschinentests
Tessmann,V2,2,Koelpinsee,Entwickler
Tessmann,US Army,3,Fort Bliss,Berater
Tessmann,White Sands Missile Range,3,White Sands Missle Range,Mitarbeiter
Tessmann,US Army,3,Huntsville,Mitarbeiter
Tessmann,NASA,4,Huntsville,Deputy Director
Huzel,NSDAP,2,Berlin,Mitglied
Huzel,Heeresversuchsanstalt,2,Peenemuende,Mitarbeiter
Huzel,US Army,3,Fort Bliss,Berater
Huzel,North Amercian Aviation,4,Los Angeles,Triebswerkentwicklung Redstone
Benzinger,NSDAP,2,Berlin,Mitglied
Benzinger,SA,2,Berlin,Mitglied
Benzinger,Flugmedizinisches Institut,2,Rechlin,Leiter
Benzinger,Deutsche Akademie fuer Luftfahrtforschung,2,Berlin,Obermedizinalrat
Benzinger,US Air Force,3,Randolph Air Force Base,Berater
Benzinger,NMRI,3,Bethesda,Direktor
Benzinger,NIST,4,Gaithersburg,Mitarbeiter
Schaefer,Schering AG,2,Berlin,Assistent Chemotherapeutisches Laboratorium
Schaefer,Luftwaffe,2,Jueterborg,Mitarbeiter Sanitaetsversuchs-und Lehrabteilung
Schaefer,KZ Dachau,2,Dachau,Referent Menschenversuche
Schaefer,Forschungsinstitut fuer Luftfahrtmedizin,2,Berlin,Mitarbeiter
Schaefer,US Air Force,3,Randolph Air Force Base,Mitarbeiter
